obs,id,like,comment,share,engagement,log_engage,length,question,valence,hashtag,picture,url,at_mention,emoji
219,133098,0,1,0,1,0.6931471805599453,13,0,0.0,0,0,0,0,0
220,133099,0,1,0,1,0.6931471805599453,8,1,0.0,0,0,0,0,0
221,133100,0,1,0,1,0.6931471805599453,17,0,0.0,0,0,0,0,0
222,133101,0,0,0,0,0.0,40,0,3.2188,0,0,0,0,0
223,133102,0,1,0,1,0.6931471805599453,16,0,0.0,0,0,1,0,0
224,133103,0,3,0,3,1.3862943611198906,28,0,0.0,0,0,1,0,0
225,133104,0,2,0,2,1.0986122886681098,17,0,0.0,0,0,1,0,0
226,133105,0,1,0,1,0.6931471805599453,25,0,0.7000000000000002,0,0,2,0,0
227,133106,0,0,0,0,0.0,26,1,0.0,0,0,1,0,0
228,133107,1,0,0,1,0.6931471805599453,6,0,0.0,0,0,1,0,0
229,133108,1,1,0,2,1.0986122886681098,17,0,0.0,0,0,0,0,0
230,133109,0,1,0,1,0.6931471805599453,15,0,0.0,0,0,1,0,0
231,133110,0,2,0,2,1.0986122886681098,13,0,0.0,0,0,0,0,0
232,133111,0,2,0,2,1.0986122886681098,41,0,1.6,0,0,1,0,0
233,133112,1,2,0,3,1.3862943611198906,38,0,0.0,0,0,0,0,0
234,133113,1,1,0,2,1.0986122886681098,36,0,0.0,0,0,0,0,0
235,133114,0,0,0,0,0.0,38,0,2.5,0,0,1,0,0
236,133115,0,1,0,1,0.6931471805599453,36,0,1.66,0,0,2,0,0
237,133116,1,0,0,1,0.6931471805599453,53,0,2.52645,0,0,1,0,0
238,133118,0,0,0,0,0.0,18,0,0.0,0,0,1,0,0
239,133119,0,2,0,2,1.0986122886681098,23,0,0.0,0,0,0,0,0
240,133120,0,1,0,1,0.6931471805599453,11,0,0.0,0,0,1,0,0
241,133121,0,0,0,0,0.0,18,0,0.0,0,0,0,0,0
242,133122,0,0,0,0,0.0,35,0,0.0,0,0,1,0,0
243,133123,0,2,0,2,1.0986122886681098,9,0,0.0,0,0,1,0,0
244,133124,1,0,0,1,0.6931471805599453,26,0,1.6,0,0,1,0,0
245,133125,0,2,0,2,1.0986122886681098,40,0,0.0,0,0,1,0,0
246,133126,0,1,0,1,0.6931471805599453,44,0,0.0,0,0,0,0,0
247,133127,0,0,0,0,0.0,34,0,1.6,0,0,2,0,0
248,133128,0,0,0,0,0.0,44,0,1.9,0,0,1,0,0
249,133129,0,0,0,0,0.0,37,0,-3.3125,0,0,1,0,0
