obs,id,like,comment,share,engagement,log_engage,length,question,valence,hashtag,picture,url,at_mention,emoji
134,133004,14,18,3,35,3.58351893845611,11,0,0.0,0,0,1,0,0
135,133005,39,61,7,107,4.68213122712422,0,0,0.0,0,0,0,0,0
136,133006,9,7,2,18,2.9444389791664403,12,0,0.4687999999999999,1,1,2,0,0
137,133007,10,23,1,34,3.5553480614894135,36,0,1.8571,1,1,2,0,0
138,133008,1,1,0,2,1.0986122886681098,8,1,3.705399999999999,1,0,0,0,1
139,133009,8,1,1,10,2.3978952727983707,13,0,2.0101,1,1,1,0,1
140,133010,3,1,1,5,1.791759469228055,16,1,0.0,1,1,1,0,0
141,133011,14,70,3,87,4.477336814478207,14,0,0.0,0,1,1,0,1
142,133012,2,11,0,13,2.6390573296152584,19,1,0.0,3,0,0,0,0
143,133013,10,21,1,32,3.4965075614664802,10,0,0.0,0,0,1,0,0
144,133014,14,16,1,31,3.4657359027997265,31,0,1.35,1,1,2,0,0
145,133015,12,15,3,30,3.4339872044851463,12,0,0.0,0,0,1,0,0
146,133016,7,13,1,21,3.091042453358316,28,0,3.705399999999999,0,1,2,0,1
147,133017,0,4,0,4,1.6094379124341003,4,1,0.0,0,0,0,0,1
148,133018,1,1,0,2,1.0986122886681098,17,0,0.0,0,1,2,0,0
149,133019,2,4,0,6,1.9459101490553132,10,0,2.9643,0,1,2,0,1
150,133020,9,21,2,32,3.4965075614664802,19,1,1.5,0,1,1,0,2
151,133021,7,20,2,29,3.4011973816621555,17,1,2.9643,1,1,2,0,1
152,133023,3,6,1,10,2.3978952727983707,10,1,0.0,0,0,0,0,0
153,133024,6,9,1,16,2.833213344056216,18,0,0.0,0,1,2,0,1
154,133025,12,20,2,34,3.5553480614894135,26,1,3.705399999999999,0,1,2,0,2
155,133026,7,9,1,17,2.8903717578961645,31,1,0.0,0,1,2,0,0
156,133027,3,8,2,13,2.6390573296152584,7,1,0.0,0,0,0,0,0
157,133028,1,2,0,3,1.3862943611198906,21,1,2.46,0,1,1,0,1
158,133029,16,20,2,38,3.6635616461296463,33,1,1.8571,0,1,2,0,2
159,133030,16,50,3,69,4.248495242049359,30,1,0.0,2,1,2,0,1
160,133031,3,15,0,18,2.9444389791664403,6,1,0.0,0,0,0,0,1
161,133032,10,17,1,28,3.367295829986474,21,1,2.9561,0,1,1,0,0
162,133033,2,4,1,7,2.0794415416798357,28,0,0.7000000000000002,0,1,2,0,1
163,133034,0,4,0,4,1.6094379124341003,15,0,2.473333333333333,0,1,2,0,0
164,133035,33,57,3,93,4.543294782270004,25,0,2.38,0,1,1,0,2
165,133036,25,27,1,53,3.9889840465642745,16,1,0.0,0,1,1,0,1
166,133037,1,9,1,11,2.4849066497880004,2,0,0.0,0,0,0,0,0
167,133038,20,10,1,31,3.4657359027997265,17,0,0.0,0,1,1,0,1
168,133039,3,10,1,14,2.70805020110221,2,0,0.0,0,0,0,0,0
169,133040,4,5,1,10,2.3978952727983707,14,1,2.86,0,1,1,0,1
170,133041,1,3,0,4,1.6094379124341003,2,0,0.0,0,0,0,0,0
171,133042,14,20,5,39,3.6888794541139363,26,0,2.729433333333333,0,0,0,0,1
172,133044,18,26,5,49,3.912023005428146,14,0,0.0,0,1,1,0,0
173,133045,28,122,7,157,5.062595033026967,17,0,3.3065,0,1,1,0,0
174,133046,2,3,1,6,1.9459101490553132,9,0,3.2855,0,1,1,0,0
175,133047,2,5,0,7,2.0794415416798357,0,0,0.0,0,1,1,0,0
176,133048,45,227,8,280,5.638354669333745,3,0,0.0,0,1,1,0,3
177,133051,35,35,5,75,4.330733340286331,30,0,0.0,0,1,2,0,2
178,133052,15,30,4,49,3.912023005428146,7,0,0.0,0,0,1,0,0
179,133053,31,38,6,75,4.330733340286331,8,0,0.0,0,0,1,0,0
180,133055,5,7,0,12,2.5649493574615367,4,1,0.0,0,0,0,0,0
181,133056,7,11,1,19,2.995732273553991,17,0,0.0,0,1,2,0,0
182,133057,2,3,1,6,1.9459101490553132,17,0,0.0,0,1,2,0,1
183,133058,22,24,2,48,3.8918202981106265,23,0,2.3333,0,1,1,0,2
184,133059,9,26,2,37,3.6375861597263857,8,0,3.2855,0,0,1,0,1
185,133060,15,34,3,52,3.970291913552122,8,1,0.0,0,0,1,0,0
186,133061,9,19,2,30,3.4339872044851463,7,0,0.0,0,0,1,0,1
187,133063,3,8,0,11,2.4849066497880004,3,0,0.0,0,0,0,0,0
188,133064,7,11,1,19,2.995732273553991,8,1,0.0,0,1,1,0,0
189,133065,3,2,2,7,2.0794415416798357,14,1,0.0,0,1,1,0,1
190,133066,5,2,1,8,2.1972245773362196,15,0,0.0,0,1,1,0,1
191,133067,4,3,1,8,2.1972245773362196,17,0,3.3214,0,1,1,0,1
192,133068,12,28,3,43,3.784189633918261,19,0,0.0,0,1,2,0,3
193,133069,1,7,0,8,2.1972245773362196,9,1,0.0,0,0,0,0,1
194,133070,8,9,2,19,2.995732273553991,21,0,2.9643,0,1,1,0,0
195,133071,4,4,1,9,2.302585092994046,14,0,3.26,0,1,2,0,0
196,133072,2,3,1,6,1.9459101490553132,19,0,0.0,1,1,2,0,1
197,133073,15,16,1,32,3.4965075614664802,11,0,0.0,0,1,1,0,2
198,133074,11,17,2,30,3.4339872044851463,4,0,0.0,0,0,1,0,1
199,133075,16,20,2,38,3.6635616461296463,10,0,0.0,0,0,1,0,0
200,133077,68,23,21,112,4.727387818712341,3,0,0.0,1,1,2,0,1
201,133080,4,6,0,10,2.3978952727983707,25,1,2.942766666666666,0,1,1,0,1
202,133081,4,11,0,15,2.772588722239781,18,1,2.4048,0,1,1,0,1
